"","CODE","Cl_90p"
"1","ANTKAL0001",4.266
"2","ANTKAL0011",11.231
"3","ANTKAL0021",8.323
"4","ANTKAL0123",7.567
"5","ANTKAL0217",7.07
"6","ANTKAL0276",9.207
"7","ANTKAL0284",10.682
"8","ANTKAL0289",11.992
"9","ANTKAL0306",6.275
"10","ANTKAL0309",7.8
"11","ANTKAL0344",9.475
"12","ANTKAL0350",6.08
"13","ANTKAL0356",12.984
"14","ANTKAL0384",6.131
"15","ANTKAL0385",10.252
"16","ANTKAL0386a",9.82
"17","ANTKAL0386b",10.815
"18","ANTKAL0478",4.281
"19","ANTKAL0482",7.215
"20","ANTKAL0483",6.16
"21","ANTKAL0492",4.73
"22","AN_KAL_002",12.288
"23","AN_KAL_003",9.035
"24","AN_KAL_006",9.865
"25","AN_KAL_007",7.854
"26","AN_NOL_001",11.899
"27","AN_NOL_003",11.364
