,CODE,O2conc_p10
22,AN_KAL_002,6.758
23,AN_KAL_003,8.426
24,AN_KAL_006,8.735
25,AN_KAL_007,8.168
26,AN_NOL_001,8.872
27,AN_NOL_003,4.458
1,ANTKAL0001,7.533
2,ANTKAL0011,8.379
3,ANTKAL0021,8.675
4,ANTKAL0123,5.716
5,ANTKAL0217,6.362
6,ANTKAL0276,5.698
7,ANTKAL0284,7.267
8,ANTKAL0289,8.506
9,ANTKAL0306,8.805
10,ANTKAL0309,10.165
11,ANTKAL0344,8.885
12,ANTKAL0350,9.655
13,ANTKAL0356,6.192
14,ANTKAL0384,4.867
15,ANTKAL0385,8.074
16,ANTKAL0386a,8.476
17,ANTKAL0386b,8.873
18,ANTKAL0478,4.802
19,ANTKAL0482,5.465
20,ANTKAL0483,5.46
21,ANTKAL0492,9.323
