,CODE,SD_zomerhalfjaargem
22,AN_KAL_002,0.282
23,AN_KAL_003,0.506
24,AN_KAL_006,0.616
25,AN_KAL_007,0.314
26,AN_NOL_001,0.32
27,AN_NOL_003,0.238
1,ANTKAL0001,0.855
2,ANTKAL0011,0.234
3,ANTKAL0021,0.438
4,ANTKAL0123,0.274
5,ANTKAL0217,0.71
6,ANTKAL0276,0.434
7,ANTKAL0284,0.434
8,ANTKAL0289,0.5325
9,ANTKAL0306,0.52
10,ANTKAL0309,0.803333333
11,ANTKAL0344,0.34
12,ANTKAL0350,0.375
13,ANTKAL0356,0.374
14,ANTKAL0384,0.864
15,ANTKAL0385,0.32
16,ANTKAL0386a,0.552
17,ANTKAL0386b,0.38
18,ANTKAL0478,0.252
19,ANTKAL0482,0.34
20,ANTKAL0483,0.306666667
21,ANTKAL0492,0.572
