"","CODE","EGV_90p"
"1","ANTKAL0001",26.3
"2","ANTKAL0011",61.86
"3","ANTKAL0021",51.81
"4","ANTKAL0123",65.31
"5","ANTKAL0217",62.3
"6","ANTKAL0276",73.19
"7","ANTKAL0284",72.19
"8","ANTKAL0289",61.28
"9","ANTKAL0306",42.35
"10","ANTKAL0309",65.45
"11","ANTKAL0344",74.9
"12","ANTKAL0350",65.9
"13","ANTKAL0356",76.7
"14","ANTKAL0384",47.21
"15","ANTKAL0385",79.14
"16","ANTKAL0386a",67.85
"17","ANTKAL0386b",72.36
"18","ANTKAL0478",39.12
"19","ANTKAL0482",74.3
"20","ANTKAL0483",54.15
"21","ANTKAL0492",48.81
"22","AN_KAL_002",78.11
"23","AN_KAL_003",64.39
"24","AN_KAL_006",70.71
"25","AN_KAL_007",49.37
"26","AN_NOL_001",58.96
"27","AN_NOL_003",75.52
