"","CODE","TP_zomerhalfjaargem"
"1","ANTKAL0001",0.04222
"2","ANTKAL0011",0.0313
"3","ANTKAL0021",0.03
"4","ANTKAL0123",0.18096
"5","ANTKAL0217",0.03062
"6","ANTKAL0276",0.03608
"7","ANTKAL0284",0.03224
"8","ANTKAL0289",0.0408
"9","ANTKAL0306",0.0368333333333333
"10","ANTKAL0309",0.03
"11","ANTKAL0344",0.03
"12","ANTKAL0350",0.03
"13","ANTKAL0356",0.15172
"14","ANTKAL0384",0.03918
"15","ANTKAL0385",0.037775
"16","ANTKAL0386a",0.03014
"17","ANTKAL0386b",0.03174
"18","ANTKAL0478",0.0625
"19","ANTKAL0482",0.0459666666666667
"20","ANTKAL0483",0.0602666666666667
"21","ANTKAL0492",0.03
"22","AN_KAL_002",0.03
"23","AN_KAL_003",0.03334
"24","AN_KAL_006",0.03016
"25","AN_KAL_007",0.12058
"26","AN_NOL_001",0.05246
"27","AN_NOL_003",0.04676
