"","CODE","EGV25_veld","O2_veld","O2verz","SD_veld","T_veld","alkaliniteit","pH_veld","sal_veld"
"1","ANTKAL0001",22.1875,9.9975,101.2125,0.845714285714286,15.85,0.081940347,5.269625,0
"2","ANTKAL0011",48.875,9.6675,99.3,0.35,16.6375,0.081940347,4.510125,0
"3","ANTKAL0021",46.275,9.76125,101.075,0.54375,16.85,0.081940347,4.342375,0
"4","ANTKAL0123",46.225,7.57875,76.5375,0.36125,15.225,0.0985127825,5.381,0
"5","ANTKAL0217",50.0142857142857,8.05285714285714,82.7142857142857,0.706666666666667,15.6142857142857,0.081940347,4.48071428571429,0
"6","ANTKAL0276",47.7125,8.82625,90.2375,0.5525,16.8,0.086651917,5.3245,0
"7","ANTKAL0284",56.4,9.31625,93.825,0.5425,15.6625,0.081940347,4.38475,0
"8","ANTKAL0289",44.1857142857143,9.92428571428571,99.0285714285714,0.628571428571429,15.7142857142857,0.081940347,4.88985714285714,0
"9","ANTKAL0306",37.6,10.1866666666667,99.5333333333333,0.655,14.1833333333333,0.081940347,4.79533333333333,0
"10","ANTKAL0309",45.9666666666667,10.8766666666667,104.333333333333,0.803333333333333,13.35,0.081940347,4.40116666666667,0
"11","ANTKAL0344",52.8333333333333,10.3266666666667,97.7666666666667,0.454,12.7666666666667,0.081940347,4.36733333333333,0
"12","ANTKAL0350",48.6666666666667,10.2783333333333,100.183333333333,0.452,13.9666666666667,0.081940347,4.298,0
"13","ANTKAL0356",54.925,8.125,80.9375,0.47,15.2125,0.081940347,4.988375,0
"14","ANTKAL0384",40.35,8.6025,86.275,0.884285714285714,15.325,0.081940347,4.9615,0
"15","ANTKAL0385",49.8857142857143,9.82857142857143,96.6142857142857,0.407142857142857,14.3857142857143,0.081940347,4.74414285714286,0
"16","ANTKAL0386a",55.0375,9.845,99.3625,0.575,16.075,0.081940347,4.699625,0
"17","ANTKAL0386b",52.0375,9.8875,101.9,0.42875,16.95,0.081940347,4.48325,0
"18","ANTKAL0478",33.175,7.34,74.15,0.33375,16.75,0.081940347,4.696125,0
"19","ANTKAL0482",57.65,8.53,77.35,0.366,11.55,0.081940347,4.244,0
"20","ANTKAL0483",43.9666666666667,8.57333333333333,76.9166666666667,0.336,11.5333333333333,0.081940347,4.30383333333333,0
"21","ANTKAL0492",36.575,10.3525,104.7,0.6725,16.0125,0.081940347,4.31675,0
"22","AN_KAL_002",53.5625,9.22125,93.8375,0.367142857142857,15.5,0.081940347,4.317125,0
"23","AN_KAL_003",48.9625,9.795,97.3625,0.5075,15.3875,0.081940347,4.38775,0
"24","AN_KAL_006",53.3875,10.1125,96.1625,0.602857142857143,13.575,0.081940347,4.4,0
"25","AN_KAL_007",41.025,10.17625,95.4875,0.37625,15.4375,0.081940347,4.624125,0
"26","AN_NOL_001",51.225,9.655,98.3875,0.355,15.7875,0.081940347,4.4485,0
"27","AN_NOL_003",61.4375,6.06,59.925,0.28375,15.05,0.081940347,4.439,0
