"","unique(data$CODE)"
"1","ANTKAL0384"
"2","ANTKAL0344"
"3","ANTKAL0385"
"4","AN_KAL_002"
"5","ANTKAL0011"
"6","AN_KAL_003"
"7","ANTKAL0284"
"8","AN_KAL_007"
"9","AN_KAL_006"
"10","ANTKAL0306"
"11","ANTKAL0309"
"12","ANTKAL0289"
"13","ANTKAL0123"
"14","ANTKAL0001"
"15","ANTKAL0021"
"16","ANTKAL0386b"
"17","ANTKAL0478"
"18","ANTKAL0276"
"19","ANTKAL0492"
"20","ANTKAL0483"
"21","ANTKAL0482"
"22","AN_NOL_003"
"23","ANTKAL0386a"
"24","AN_NOL_001"
"25","ANTKAL0217"
"26","ANTKAL0350"
"27","ANTKAL0356"
