,CODE,pH_min,pH_max,bereik
22,AN_KAL_002,4.056,4.59,4.056 - 4.59
23,AN_KAL_003,4.244,4.536,4.244 - 4.536
24,AN_KAL_006,4.23,4.734,4.23 - 4.734
25,AN_KAL_007,4.38,4.792,4.38 - 4.792
26,AN_NOL_001,4.18,4.65,4.18 - 4.65
27,AN_NOL_003,4.16,4.92,4.16 - 4.92
1,ANTKAL0001,4.85,5.528,4.85 - 5.528
2,ANTKAL0011,4.264,4.87,4.264 - 4.87
3,ANTKAL0021,4.139,4.669,4.139 - 4.669
4,ANTKAL0123,5.071,5.845,5.071 - 5.845
5,ANTKAL0217,4.347,4.58,4.347 - 4.58
6,ANTKAL0276,4.046,6.127,4.046 - 6.127
7,ANTKAL0284,4.064,4.644,4.064 - 4.644
8,ANTKAL0289,4.56,5.42,4.56 - 5.42
9,ANTKAL0306,4.45,5.22,4.45 - 5.22
10,ANTKAL0309,4.259,4.536,4.259 - 4.536
11,ANTKAL0344,4.222,4.625,4.222 - 4.625
12,ANTKAL0350,3.82,4.528,3.82 - 4.528
13,ANTKAL0356,4.527,5.413,4.527 - 5.413
14,ANTKAL0384,4.015,6.82,4.015 - 6.82
15,ANTKAL0385,4.1,5.127,4.1 - 5.127
16,ANTKAL0386a,4.59,4.95,4.59 - 4.95
17,ANTKAL0386b,4.32,4.62,4.32 - 4.62
18,ANTKAL0478,4.29,5.989,4.29 - 5.989
19,ANTKAL0482,3.93,4.468,3.93 - 4.468
20,ANTKAL0483,4.11,4.56,4.11 - 4.56
21,ANTKAL0492,3.95,4.528,3.95 - 4.528
